fund,Combined Max-Sharpe,Combined Min-Variance,Combined Risk-Parity,Equity Max-Sharpe,Crypto Min-Variance,Equity Min-Variance,Equity Risk-Parity,Crypto Max-Sharpe,Crypto Risk-Parity
Combined Max-Sharpe,1.0,0.5613449169427909,0.810541396348077,0.7117845548214986,0.6482989433702526,0.5499134404063225,0.6797322465389272,0.6519390874347537,0.6360505292816888
Combined Min-Variance,0.5613449169427909,1.0,0.8166248094523173,0.7110972855438118,0.2641007837218077,0.998825149093463,0.8664457038909943,0.24626795935097034,0.26205596909512513
Combined Risk-Parity,0.810541396348077,0.8166248094523173,1.0,0.7612516794389819,0.576616152704991,0.8059258541815674,0.9459536598260258,0.577952779912375,0.6058662890666856
Equity Max-Sharpe,0.7117845548214986,0.7110972855438118,0.7612516794389819,1.0,0.27939389657005276,0.7111304333883698,0.8047870943727721,0.2904234986206722,0.271045431274351
Crypto Min-Variance,0.6482989433702526,0.2641007837218077,0.576616152704991,0.27939389657005276,1.0,0.2390911349473759,0.34146503132632267,0.8504694629761629,0.8918387955488403
Equity Min-Variance,0.5499134404063225,0.998825149093463,0.8059258541815674,0.7111304333883698,0.2390911349473759,1.0,0.8654150396846135,0.22241438702277566,0.23369836405464195
Equity Risk-Parity,0.6797322465389272,0.8664457038909943,0.9459536598260258,0.8047870943727721,0.34146503132632267,0.8654150396846135,1.0,0.344147592275825,0.33523872780877517
Crypto Max-Sharpe,0.6519390874347537,0.24626795935097034,0.577952779912375,0.2904234986206722,0.8504694629761629,0.22241438702277566,0.344147592275825,1.0,0.9065535848816688
Crypto Risk-Parity,0.6360505292816888,0.26205596909512513,0.6058662890666856,0.271045431274351,0.8918387955488403,0.23369836405464195,0.33523872780877517,0.9065535848816688,1.0
