target_return,vol
0.11355516802913722,0.1631729855785591
0.13859473949313036,0.1641378161541017
0.16363431095712347,0.16720133630306855
0.18867388242111663,0.17240306107016493
0.21371345388510973,0.1790774254631609
0.23875302534910287,0.187134085156991
0.263792596813096,0.19643123299739004
0.28883216827708913,0.20683401621800554
0.3138717397410823,0.21830249983114386
0.3389113112050754,0.2307203872688976
0.36395088266906855,0.2440048603272191
0.38899045413306166,0.258055694374704
0.4140300255970548,0.27290775350545393
0.439069597061048,0.28860909398542073
0.464109168525041,0.3050351985729307
0.4891487399890342,0.3223630487288934
0.5141883114530273,0.3407733657888872
0.5392278829170204,0.3601024402162647
0.5642674543810136,0.3802101718137458
0.5893070258450067,0.40097943674071546
0.6143465973089999,0.4223126434801566
0.6393861687729929,0.4442562136216584
0.6644257402369861,0.4682178233081558
0.6894653117009791,0.49465708024148564
0.7145048831649725,0.5252314655130191
0.7395444546289656,0.5792841247189647
0.7645840260929586,0.6610655027234774
0.7896235975569518,0.7646371550445258
0.8146631690209448,0.8830363680115725
0.839702740484938,1.0110083715138536
