fund,ann_return,ann_vol,sharpe,max_drawdown,growth_of_1
Combined Max-Sharpe,0.29304885576942197,0.2567944873125501,1.1411804779623087,-0.2534492449540206,2.155341314341325
Combined Min-Variance,0.057272037570599066,0.1279674968008461,0.44755144081415205,-0.15214106866907026,1.1810609251873363
Combined Risk-Parity,0.14022127958815722,0.16026226685996717,0.8749488094454497,-0.1977791064190348,1.4800929274197008
Equity Max-Sharpe,0.13755086035442932,0.18370740848316627,0.7487496638821377,-0.23296007721353448,1.4697590749774876
Crypto Min-Variance,0.827258573673052,0.6509133277022995,1.270919703846355,-0.710895479603642,7.102119447465852
Equity Min-Variance,0.055924308938364975,0.12766335288413874,0.43806078780587293,-0.15068746364429003,1.1765679707125607
Equity Risk-Parity,0.09914600512964755,0.14586109164007588,0.6797289394645311,-0.18506148793209862,1.326408825215123
Crypto Max-Sharpe,0.11828058158843091,0.7549453482827201,0.15667436306149132,-0.8157589552041139,1.4384335657341436
Crypto Risk-Parity,0.5806528609334012,0.7874120226276352,0.7374193487619507,-0.7956246232806888,4.43228010748246
