fund,ann_return,cash_ann_return,excess_over_cash
Combined Max-Sharpe,0.29304885576942197,0.019557362996147187,0.2734914927732748
Combined Min-Variance,0.057272037570599066,0.019557362996147187,0.03771467457445188
Combined Risk-Parity,0.14022127958815722,0.019557362996147187,0.12066391659201003
Equity Max-Sharpe,0.13755086035442932,0.019557362996147187,0.11799349735828213
Crypto Min-Variance,0.827258573673052,0.019557362996147187,0.8077012106769048
Equity Min-Variance,0.055924308938364975,0.019557362996147187,0.03636694594221779
Equity Risk-Parity,0.09914600512964755,0.019557362996147187,0.07958864213350036
Crypto Max-Sharpe,0.11828058158843091,0.019557362996147187,0.09872321859228372
Crypto Risk-Parity,0.5806528609334012,0.019557362996147187,0.561095497937254
