date,fund,asset,weight
2021-02-01,Combined Max-Sharpe,EQ_GE,0.0
2021-02-01,Combined Max-Sharpe,EQ_GILD,2.8117596631225266e-19
2021-02-01,Combined Max-Sharpe,EQ_GS,1.7271833210655358e-18
2021-02-01,Combined Max-Sharpe,EQ_INTC,2.7836315607204212e-19
2021-02-01,Combined Max-Sharpe,EQ_KO,1.0286846937854667e-18
2021-02-01,Combined Max-Sharpe,EQ_MMM,0.0
2021-02-01,Combined Max-Sharpe,EQ_MRK,1.051113009562533e-18
2021-02-01,Combined Max-Sharpe,EQ_MS,0.0
2021-02-01,Combined Max-Sharpe,EQ_NEE,0.0
2021-02-01,Combined Max-Sharpe,EQ_NEM,0.04050378966639729
2021-02-01,Combined Max-Sharpe,EQ_NKE,4.462806220192605e-18
2021-02-01,Combined Max-Sharpe,EQ_NUE,0.0
2021-02-01,Combined Max-Sharpe,EQ_NVDA,0.2444716083508057
2021-02-01,Combined Max-Sharpe,EQ_O,0.0
2021-02-01,Combined Max-Sharpe,EQ_OXY,0.0
2021-02-01,Combined Max-Sharpe,EQ_PLD,2.8190159524619275e-20
2021-02-01,Combined Max-Sharpe,EQ_PSA,2.793982853115821e-18
2021-02-01,Combined Max-Sharpe,EQ_QCOM,6.665220279302151e-18
2021-02-01,Combined Max-Sharpe,EQ_SBUX,3.008117907579545e-20
2021-02-01,Combined Max-Sharpe,EQ_SHW,0.0
2021-02-01,Combined Max-Sharpe,EQ_SLB,0.0
2021-02-01,Combined Max-Sharpe,EQ_SO,0.0
2021-02-01,Combined Max-Sharpe,EQ_T,1.6291218347012748e-18
2021-02-01,Combined Max-Sharpe,EQ_TMUS,0.0
2021-02-01,Combined Max-Sharpe,EQ_TTWO,0.0
2021-02-01,Combined Max-Sharpe,EQ_UPS,0.1236716765635559
2021-02-01,Combined Max-Sharpe,EQ_USB,1.6662281201165207e-18
2021-02-01,Combined Max-Sharpe,EQ_V,3.011007980109401e-18
2021-02-01,Combined Max-Sharpe,EQ_WFC,0.0
2021-02-01,Combined Max-Sharpe,EQ_WMT,1.1387489983125323e-17
2021-02-01,Combined Max-Sharpe,EQ_XOM,1.0978144840991329e-19
2021-02-01,Combined Max-Sharpe,CR_ADA-USD,2.2767143802173147e-17
2021-02-01,Combined Max-Sharpe,CR_BCH-USD,2.2985868346214885e-18
2021-02-01,Combined Max-Sharpe,CR_BTC-USD,0.4281914078326374
2021-02-01,Combined Max-Sharpe,CR_EOS-USD,0.0
2021-02-01,Combined Max-Sharpe,CR_ETC-USD,0.0
2021-02-01,Combined Max-Sharpe,CR_ETH-USD,1.661868160116571e-17
2021-02-01,Combined Max-Sharpe,CR_LTC-USD,0.0
2021-02-01,Combined Max-Sharpe,CR_TRX-USD,0.0
2021-02-01,Combined Max-Sharpe,CR_XLM-USD,0.16316151758660385
2021-02-01,Combined Max-Sharpe,CR_XRP-USD,0.0
2021-03-01,Combined Max-Sharpe,EQ_ABBV,0.0
2021-03-01,Combined Max-Sharpe,EQ_ABT,0.03662299217128968
2021-03-01,Combined Max-Sharpe,EQ_ADBE,0.0
2021-03-01,Combined Max-Sharpe,EQ_AEP,3.4326609141480173e-18
2021-03-01,Combined Max-Sharpe,EQ_AMD,0.0
2021-03-01,Combined Max-Sharpe,EQ_AMGN,0.0
2021-03-01,Combined Max-Sharpe,EQ_AMT,1.8237892510648772e-18
2021-03-01,Combined Max-Sharpe,EQ_BA,3.1949814221305965e-18
2021-03-01,Combined Max-Sharpe,EQ_CAT,0.020624636926417257
2021-03-01,Combined Max-Sharpe,EQ_CCI,3.71404944208036e-18
2021-03-01,Combined Max-Sharpe,EQ_CMCSA,0.0
2021-03-01,Combined Max-Sharpe,EQ_COP,8.145514607052445e-19
2021-03-01,Combined Max-Sharpe,EQ_CVX,3.0905750979740225e-18
2021-03-01,Combined Max-Sharpe,EQ_D,3.631290161088861e-19
2021-03-01,Combined Max-Sharpe,EQ_DD,2.802699072343801e-17
2021-03-01,Combined Max-Sharpe,EQ_DIS,9.635243905645632e-18
