date,Combined Max-Sharpe,Combined Min-Variance,Combined Risk-Parity,Equity Max-Sharpe,Crypto Min-Variance,Equity Min-Variance,Equity Risk-Parity,Crypto Max-Sharpe,Crypto Risk-Parity
2020-10-01,,,,,-0.015044809910508513,,,-0.024191447252247943,-0.015135540404973776
2020-10-02,,,,,-0.00911071936963355,,,-0.03279481365778581,-0.020969716619767
2020-10-03,,,,,-0.0034722695355836556,,,0.0027180260084431677,0.00413661184316222
2020-10-04,,,,,0.0310540047268707,,,0.023395959575076765,0.01844531206501774
2020-10-05,,,,,0.01199356076992449,,,0.007517774010686854,0.0038944593413514405
2020-10-06,,,,,-0.019141886204362146,,,-0.04197565496340635,-0.009628452688613263
2020-10-07,,,,,0.008718520351676974,,,0.0062132883215177594,0.0025920054498884994
2020-10-08,,,,,0.018809699025892114,,,0.025725889998013497,0.014814054929697826
2020-10-09,,,,,0.01153603027353809,,,0.049808169166312824,0.02244982874361038
2020-10-10,,,,,0.014216806826771492,,,0.02137438392338492,0.013469815442366025
2020-10-11,,,,,0.0069583732935675855,,,0.012591221973344037,0.011509188152115678
2020-10-12,,,,,0.010419767247919964,,,0.03324274825933209,0.010998453675548038
2020-10-13,,,,,-0.0071432269362203035,,,-0.014268329284353821,-0.0051760347636028055
2020-10-14,,,,,-0.009959473718398568,,,-0.008640227864682753,-0.006263547594861592
2020-10-15,,,,,-0.001745249189563439,,,-0.005716121517963578,-0.004768544776868242
2020-10-16,,,,,-0.01782638158935593,,,-0.027331791801728428,-0.01769248270347914
2020-10-17,,,,,0.0027429911003562656,,,0.012448785850959727,0.004428849221949888
2020-10-18,,,,,0.008886030750003498,,,0.01973812740755389,0.0068672654636151055
2020-10-19,,,,,0.019841684825013747,,,0.0077150035658366724,0.015800366730867797
2020-10-20,,,,,0.0055427586741811415,,,-0.040506475203250056,-0.02073058833004765
2020-10-21,,,,,0.05981431352607777,,,0.05123776973000786,0.05494958205409731
2020-10-22,,,,,0.01470337834097072,,,0.049201602774768864,0.026825981735723335
2020-10-23,,,,,-0.00448892070145497,,,-0.015126924490088917,-0.007612071521307415
2020-10-24,,,,,0.010787597386334866,,,0.0037482910076979624,0.015812911436785156
2020-10-25,,,,,-0.008396379953618858,,,-0.015477923927394818,-0.008203398243279484
2020-10-26,,,,,-0.004664756733969842,,,-0.03045583858814479,-0.02152294950043445
2020-10-27,,,,,0.03392531206520749,,,0.013659749703099392,0.016251787075210987
2020-10-28,,,,,-0.02795736669280238,,,-0.037754973400079495,-0.02341194597752831
2020-10-29,,,,,0.0023022609231789642,,,-0.018286198801460717,-0.007553793546831439
2020-10-30,,,,,0.0001618973250483522,,,-0.014750773449426713,-0.01779704915850518
2020-10-31,,,,,0.011641472773803844,,,0.004245870351608175,0.008720141593026464
2020-11-01,,,,,-0.0018950299699548195,,,0.03799103753104444,0.008298225748272757
2020-11-02,,,,,-0.015775579626747784,,,-0.0412289391193955,-0.03548583747211196
2020-11-03,,,,,0.023804932391474902,,,0.019687593040338954,-0.002311825225852082
2020-11-04,,,,,0.003604896223758454,,,0.016547539105602374,0.0037730268134189044
2020-11-05,,,,,0.07002854070701343,,,0.052621538787770934,0.05038007854981377
2020-11-06,,,,,0.023735726597740713,,,0.06979453434386788,0.053595592412213316
2020-11-07,,,,,-0.04104997152684532,,,-0.0596417416765,-0.04327465272055626
2020-11-08,,,,,0.031287417231273075,,,0.04681636678105408,0.03258964656146226
2020-11-09,,,,,-0.010946785583211278,,,-0.011581510104702219,-0.019324114810859834
2020-11-10,,,,,0.0044923947115374455,,,0.0015915270878804778,0.0006923277762450067
2020-11-11,,,,,0.018577911426894234,,,0.012411702117168423,0.010440255808434589
2020-11-12,,,,,0.01693519981131465,,,0.007395467704867851,0.0013426964294362817
2020-11-13,,,,,0.020307958049033997,,,0.011770961674752788,0.02835822908357887
2020-11-14,,,,,-0.0025330820315002753,,,-0.01801585531960921,-0.014883813962220202
2020-11-15,,,,,-0.0014391301078420689,,,-0.021756487135434537,-0.01523831224793367
2020-11-16,,,,,0.052935166444333125,,,0.038695806622180584,0.04676036998724871
2020-11-17,,,,,0.05726277350089841,,,0.05357252779198096,0.052437074336316766
2020-11-18,,,,,-0.007947794491652838,,,-0.011481706757790307,-0.009412756874180965
2020-11-19,,,,,0.01562564419899668,,,-0.004209851233579887,0.006052581376190407
2020-11-20,,,,,0.06151337155305262,,,0.08292961691781436,0.052200974601592814
2020-11-21,,,,,0.18711061056882808,,,0.07488687863185475,0.14656242850131837
2020-11-22,,,,,-0.022750617479149936,,,0.039752848028858,-0.02851371232825619
2020-11-23,,,,,0.18008515311755213,,,0.03779350291254786,0.13302630496918055
2020-11-24,,,,,0.08122958287146549,,,0.06591045764785305,0.11180074301357662
2020-11-25,,,,,-0.048842120107573994,,,-0.047116150477720976,-0.05244282226678528
2020-11-26,,,,,-0.12050453053137125,,,-0.09879739159582104,-0.12416140177904186
2020-11-27,,,,,0.021824890935719782,,,0.009623563437596263,0.02545143682275673
2020-11-28,,,,,0.07460376276435092,,,0.10721144774155186,0.0515424330665571
2020-11-29,,,,,-0.0007761205348010732,,,0.017778433912269832,0.018081290621992034
2020-11-30,,,,,0.08726031975950874,,,0.05060550213681687,0.07161165745556233
2020-12-01,,,,,-0.058583930505493806,,,-0.06844159273127234,-0.06756474502918997
2020-12-02,,,,,0.021395664443313357,,,0.018024708507065074,0.02133404739458756
2020-12-03,,,,,0.01687368330163218,,,0.017041857201060714,0.01563087827822727
2020-12-04,,,,,-0.04671987214088113,,,-0.06902558312840305,-0.0782272027303508
2020-12-05,,,,,0.026402492216428153,,,0.04278965914658908,0.04232682535591703
2020-12-06,,,,,0.008790932405611561,,,0.010899177066032419,0.00870915215353002
2020-12-07,,,,,-0.008996814231988965,,,-0.018158426786627973,-0.014573167970488923
2020-12-08,,,,,-0.05183609263376561,,,-0.06356410469709749,-0.06849057264464053
2020-12-09,,,,,0.01878943943447802,,,0.03957828928133995,0.03411639347750229
2020-12-10,,,,,-0.0172572398620409,,,-0.0282841669606935,-0.026567590325191334
2020-12-11,,,,,-0.011827957632405512,,,-0.022694738143289865,-0.025236774921068666
2020-12-12,,,,,0.03809522981115045,,,0.03661557128265367,0.02895952697266674
2020-12-13,,,,,0.019098151945797674,,,0.04024450427222477,0.037940839840217594
2020-12-14,,,,,0.0024598937739185533,,,0.001516600414063264,-0.003490275366227896
2020-12-15,,,,,0.00776427128690328,,,-0.004082341311333605,-0.0019086693151487487
2020-12-16,,,,,0.09019409657941625,,,0.10405615601908492,0.10265623061709886
2020-12-17,,,,,0.052472324434065624,,,0.027451848976672494,0.013738816862404758
2020-12-18,,,,,0.011983797696280645,,,0.011651472226221597,0.015286319632211026
2020-12-19,,,,,0.025437594285244135,,,0.013242575003123288,0.015540784428292147
