date,fg_index,fg_roll,fg_z,label
2020-01-02,53.602753623188406,,,
2020-01-03,49.065549450549454,,,
2020-01-06,52.06067073170732,,,
2020-01-07,53.97195238095238,,,
2020-01-08,52.864741379310345,52.31313351314158,-1.565193127959264,Extreme fear
2020-01-09,53.31010204081633,52.4792949344207,-1.338626183182695,Fear
2020-01-10,52.02800970873787,52.41482561646602,-1.42653236675033,Fear
2020-01-13,54.20151933701658,52.638162331534836,-1.1220048970160814,Fear
2020-01-14,53.73162698412699,52.75965840404508,-0.9563407269632912,Fear
2020-01-15,52.25345394736842,52.70903795837741,-1.025363485855599,Fear
2020-01-16,56.26159722222222,53.03199789145421,-0.5849962528410197,Fear
2020-01-17,54.66918181818181,53.16842988534818,-0.3989664284186117,Neutral
2020-01-21,53.281618257261414,53.177136683187655,-0.3870944031910298,Neutral
2020-01-22,53.27697478991597,53.1842679765254,-0.37737063379016644,Neutral
2020-01-23,53.28418674698795,53.16151319965393,-0.40839757274599225,Neutral
2020-01-24,52.251593406593415,53.38908776794278,-0.09809164102530235,Neutral
2020-01-27,51.529009900990104,53.35111199432013,-0.14987294464546305,Neutral
2020-01-28,52.55717514124294,53.25005647719803,-0.287665698167409,Neutral
2020-01-29,52.09297142857143,53.194930052145246,-0.36283251850702963,Neutral
2020-01-30,51.12085164835165,53.03855502411205,-0.5760553717306823,Fear
2020-01-31,50.62790960451977,52.93854787381076,-0.7124186402026823,Fear
2020-02-03,53.130816326530606,52.862069087347486,-0.8167001566691131,Fear
2020-02-04,54.08632183908046,52.88740443412986,-0.7821545198350632,Fear
2020-02-05,53.4373880597015,52.97197115643938,-0.6668448182452424,Fear
2020-02-06,54.221688741721856,52.82626340783221,-0.8655224606129276,Fear
2020-02-07,54.25229838709677,52.79648601989756,-0.9061249768639621,Fear
2020-02-10,52.444883720930235,52.77304586663307,-0.9380864506485926,Fear
2020-02-11,53.41668421052631,52.7820502635174,-0.9258086386514801,Fear
2020-02-12,53.304115384615386,52.78385963649736,-0.9233414949253628,Fear
2020-02-13,52.12858638743455,52.70681961252714,-1.0283882784812497,Fear
2020-02-14,54.71458904109589,52.87101932149396,-0.8044961974709343,Fear
2020-02-18,52.12699604743083,52.93615005911481,-0.715688144914549,Fear
2020-02-19,54.0637984496124,53.07692341776059,-0.523738716889775,Fear
2020-02-20,54.15502590673575,53.29365015050231,-0.22822419064956523,Neutral
2020-02-21,53.13258064516129,53.47255522483385,0.01571917348567508,Neutral
2020-02-24,50.492421875,53.284098478295945,-0.24124823180571167,Neutral
2020-02-25,51.98716666666667,53.13415882312353,-0.4456962276867844,Neutral
