date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities,Comm_z,Consumer_z,Energy_z,Financials_z,Healthcare_z,Industrials_z,Materials_z,RealEstate_z,Tech_z,Utilities_z
2020-01-02,0.11544833333333333,-0.06817095238095237,0.011983333333333335,0.06496666666666667,0.1363554761904762,0.11497300000000002,0.013411111111111111,0.02035,0.10158134615384615,0.3612,0.5664301154441213,-2.067937037155337,-0.45628285194196905,-0.08434279024672119,0.6960192826002934,0.41344318953689335,-0.3257115652802015,-0.5758636983450779,0.3018157238887047,2.0414770607259602
2020-01-03,0.016425,-0.23034791666666668,-0.11866809090909092,0.08810000000000001,0.09495,-0.21636249999999999,-0.058349999999999985,0.10686666666666667,0.08120267857142857,0.010933333333333333,-0.4823091930543025,-4.595182824759377,-1.7538728807857389,0.16919788335585345,0.20197043415300744,-3.0316944292026964,-0.8692524159977307,0.10384467608959641,0.06885085396395835,-0.5801048045961728
2020-01-06,0.09601111111111112,0.026227083333333335,-0.011302196969696972,0.03407399999999999,0.182132,0.03209907407407408,-0.15472750000000002,0.007533333333333333,0.04673000000000001,-0.020887500000000003,0.3605737954609841,-0.5969079106221128,-0.6875476246970473,-0.42292553589714504,1.242223334691764,-0.4482576539285537,-1.5992454098202258,-0.6765563856770493,-0.3252339431343275,-0.8182688308793039
2020-01-07,0.15553333333333333,0.08132750000000001,-0.009894444444444437,0.13442875,0.08464800000000001,0.004971428571428571,0.12246666666666667,0.01745,0.13754303571428572,0.3612,0.9909635437387251,0.26173620402991576,-0.6735662567139636,0.6769596621238049,0.0790472919751466,-0.7303236324578567,0.5003089425455398,-0.598647219275849,0.7129225981158582,2.0414770607259602
2020-01-08,0.05927,0.07723214285714286,-0.12723666666666666,0.32661666666666667,0.12843333333333334,-0.03869682539682539,-0.2546125,-0.094325,0.16129749999999998,0.2899333333333333,-0.028545073426454123,0.19791718920493823,-1.8389733573315767,2.7833337478561737,0.6014925215071177,-1.1843744193210395,-2.3558052934856026,-1.4767948234265218,0.9844789037512706,1.5080794562285562
2020-01-09,-0.027080000000000003,0.12821817460317458,-0.008277499999999997,0.14523999999999998,0.05399444444444445,0.015456666666666665,-0.13731111111111113,0.0077,0.089176,0.015000000000000001,-0.9430632606096658,0.9924457742251656,-0.6575072585019551,0.7954506538018665,-0.28670997533338727,-0.6213009403426255,-1.467328293620108,-0.6752469879224073,0.1600002768574337,-0.5496677102328972
2020-01-10,-0.12117916666666667,0.12495799999999999,-0.200256,0.17256666666666665,0.03246,0.022949999999999995,-0.17615,0.01044,0.20564875000000002,0.027512500000000002,-1.939651556098385,0.9416416259972384,-2.5641790670706865,1.0949501411496916,-0.5436582937342505,-0.5433872710967342,-1.7615060506353781,-0.6537204888360925,1.491493562362438,-0.45601751108031857
2020-01-13,0.027043750000000002,0.02722371428571429,0.06339,0.10831428571428572,0.0693975,0.0456375,0.3237833333333333,0.08673333333333333,0.18527149999999998,-0.025899999999999996,-0.36984781494021185,-0.5813771514462089,0.05427245558373438,0.3907458783008779,-0.1029211976175024,-0.30748873403941795,2.0251436415817796,-0.05433057267116,1.2585448979576146,-0.8557850445258413
2020-01-14,0.05148333333333334,0.011278333333333333,0.046581666666666674,0.03647142857142858,0.049975000000000006,0.15387833333333334,0.11859999999999998,0.0,0.1777333333333333,0.14475000000000002,-0.11101233786420675,-0.8298581673607249,-0.11266277578692822,-0.3966497871256438,-0.3346698608818689,0.8179704057158719,0.4710216132818252,-0.7357411641868689,1.1723700776525705,0.4214502390216141
2020-01-15,0.018138888888888885,0.034347380952380956,0.011300000000000003,0.042468000000000006,0.23234166666666667,-0.0377375,0.15795,0.0066125,0.04008533333333334,0.044845833333333335,-0.4641576868620603,-0.47036720219156936,-0.4630695098360664,-0.330927535282447,1.8413235088685913,-1.1743996112693351,0.7690706839354029,-0.6837908082714464,-0.40119444935647464,-0.3262856334663569
2020-01-16,0.07806458333333334,0.0805975,0.19899238095238095,0.1432251623931624,0.1739,0.10043333333333333,0.013225,0.21320000000000003,0.2407638888888889,0.032579166666666666,0.17050516720891132,0.2503604242878511,1.4010338738503751,0.7733680910913162,1.143999367849583,0.26226363709754574,-0.3271212283984981,0.9392404435512074,1.8929228378807994,-0.4180958853162375
2020-01-17,0.0322,0.09828711111111112,-0.004359722222222216,0.20757799999999998,0.14222777777777776,0.159475,0.14006666666666664,0.01675,0.11770202963702965,0.03369111111111111,-0.31523884675650093,0.5260222321272718,-0.618597086575797,1.4786733560080896,0.7660874016963086,0.8761630439115353,0.633616786090723,-0.6041466898453455,0.48610416745692353,-0.40977350220584186
2020-01-21,0.022704166666666664,0.09778840909090909,0.052511607142857145,0.14067000000000002,0.025517857142857137,0.062976,0.0004899999999999996,0.19510000000000002,0.11552599999999999,-0.019754166666666666,-0.4158076051328057,0.5182508289235174,-0.053768418697759335,0.7453635841319635,-0.6264917254414524,-0.1272076636364083,-0.42358005723644754,0.7970398473970837,0.46122822994566115,-0.809786361958391
2020-01-22,-0.1181,0.08948190476190476,0.05346041666666667,-0.05449999999999999,0.15745520833333332,0.04942023809523808,-0.0010333333333333212,0.08711666666666668,0.09769,0.07348229166666666,-1.9070406247951426,0.38880841293275203,-0.044345132388359354,-1.3936940498888353,0.9477806273985082,-0.2681568383815604,-0.4351182550584453,-0.05131895783548325,0.257330629517516,-0.11195516186266587
2020-01-23,0.17371285714285714,0.106486,0.046168,0.051019999999999996,0.054837222222222225,0.03927857142857143,0.015575000000000006,0.37661666666666666,-0.04423703703703704,0.006208333333333333,1.1834997933987106,0.6537876487432445,-0.11677118673647698,-0.23719785917369132,-0.2766539772163111,-0.37360716697614393,-0.3093216015614991,2.2231049419777107,-1.36515099684088,-0.6154692154649787
2020-01-24,0.01022136363636364,0.04928641025641025,0.037003333333333326,-0.04533333333333333,0.09548533333333334,0.022631111111111112,0.2765066666666667,0.011408333333333333,0.05776626344086022,0.07659368627450981,-0.548010852361964,-0.23756842558487812,-0.20779185607321476,-1.2932276446428586,0.2083580147631687,-0.5467029921930525,1.6670555459375875,-0.6461128878816222,-0.19906957706097791,-0.08866783121996692
2020-01-27,-0.013028030303030305,0.06913722222222222,0.04936083333333333,-0.1428888888888889,0.15339333333333333,0.08442333333333334,0.028542500000000002,0.00925,-0.021180666666666667,0.012855952380952381,-0.7942412356690041,0.07177193691404757,-0.08506094154691045,-2.362433751381862,0.8993144617866176,0.09579595320607981,-0.21110174581308072,-0.6630695888042366,-1.1015751618385754,-0.5657149019624813
2020-01-28,0.008393749999999998,0.05764571428571429,0.017416666666666664,0.05548571428571429,0.002704999999999997,0.04794895833333334,0.08199333333333333,0.025033333333333335,0.030595192307692306,-0.025717500000000004,-0.5673667980434765,-0.1073032181406107,-0.40232064527182926,-0.1882537579582745,-0.8986940242236945,-0.28345481054400073,0.19375139778690048,-0.5390696214396369,-0.5096838518487882,-0.8544191175451944
2020-01-29,0.14114375,0.009065809523809521,-0.06769583333333333,0.0140125,0.107622,0.06501833333333333,0.07986904761904762,0.013333333333333334,0.10751269841269842,0.01031875,0.8385659101044258,-0.864336500965131,-1.247631991629917,-0.6427990037708359,0.3531723422949073,-0.10597202967423865,0.17766140076160114,-0.630989343815507,0.3696217618385835,-0.5847046728529178
2020-01-30,-0.04478333333333333,-0.03794842857142858,-0.019088095238095237,0.03534166666666667,0.12261969696969698,0.07559166666666667,-0.022981121794871794,0.08198,-0.08295208333333334,0.093755,-1.1305562577966968,-1.5969715931739081,-0.764874787544653,-0.40903194538258314,0.5321243940272443,0.00396665308731253,-0.6013575931489878,-0.09167459663355049,-1.8077336970135292,0.03977656023753852
2020-01-31,-0.2285340909090909,0.02476073232323232,-0.0005198412698412674,0.13041607142857142,0.05487541666666666,0.021716999999999997,-0.05672875,0.2527333333333333,0.14619583333333333,0.03145,-3.0766293291542373,-0.6197584395474044,-0.5804605621203773,0.6329808194170057,-0.2761982422983487,-0.5562076742346591,-0.8569725670575248,1.2498295909522947,0.8118396575189855,-0.42654716868964704
2020-02-03,0.10843499999999999,0.1009135064935065,0.034207564102564106,0.179975,0.10428872503840245,0.13013133333333332,-0.03369166666666667,0.07790000000000001,0.06475,0.06503958333333335,0.4921530930224467,0.5669500340254982,-0.23555858190746995,1.1761452632075768,0.3133998095806422,0.5710554719638016,-0.6824825726974479,-0.12372865366718712,-0.11923289134495903,-0.17514487749134114
2020-02-04,0.20932150000000002,0.08559,-0.04180333333333333,0.2609125,0.07446666666666667,0.08291874999999999,0.17020000000000002,0.027016666666666665,0.03284633333333333,0.0694375,1.5606248833091765,0.3281598494416279,-0.9904755923280896,2.063217954981714,-0.042436059305529975,0.08015169944457422,0.8618559727665674,-0.5234877881593969,-0.48394925589938476,-0.14222853210154882
2020-02-05,0.029875000000000002,0.020444212962962963,0.2420249523809524,0.0032333333333333333,0.046906952380952376,0.07299666666666665,0.051685,0.0034666666666666665,0.17055,0.03571333333333333,-0.3398625269557014,-0.6870238826909406,1.8284202259318707,-0.7609383630305369,-0.37127770923021286,-0.023015460572797186,-0.03581329301510317,-0.7085056908903148,1.0902516413584369,-0.394638116484213
2020-02-06,0.02554595238095239,0.13554027777777777,0.107895,0.17873866666666666,0.07227969230769231,0.06558333333333334,0.06293055555555555,0.13933333333333334,0.05638361111111112,0.004083333333333335,-0.3857107351873311,1.1065480111607233,0.4962825183790547,1.1625950851327649,-0.06853096903835286,-0.10009731128581392,0.04936402292686645,0.35891535869386254,-0.21487578317570244,-0.6313738446916903
2020-02-07,0.07058375000000001,0.18446979166666666,0.039542999999999995,-0.014430555555555552,0.08391717171717172,-0.021660000000000002,0.013305555555555557,0.0097,0.11361285714285715,0.12303958333333334,0.09127693167191381,1.8690293438816639,-0.18256866266095736,-0.954534081503012,0.0703270717346395,-1.0072300804907566,-0.32651107570550403,-0.659534214866703,0.4393575617550539,0.25895794375537673
