date,sector,fg_index,n_headlines
2020-01-02,Comm,57.68,11
2020-01-03,Comm,50.96666666666667,3
2020-01-06,Comm,53.2546875,16
2020-01-07,Comm,57.220000000000006,5
2020-01-08,Comm,51.77525000000001,20
2020-01-09,Comm,50.505833333333335,6
2020-01-10,Comm,47.440625,8
2020-01-13,Comm,51.46071428571429,14
2020-01-14,Comm,52.95875,4
2020-01-15,Comm,49.35388888888889,9
2020-01-16,Comm,54.77088235294118,17
2020-01-17,Comm,53.066874999999996,8
2020-01-21,Comm,51.568421052631585,19
2020-01-22,Comm,45.85375,4
2020-01-23,Comm,58.14681818181818,22
2020-01-24,Comm,50.85666666666666,24
2020-01-27,Comm,48.892250000000004,20
2020-01-28,Comm,51.07733333333333,15
2020-01-29,Comm,55.21818181818182,11
2020-01-30,Comm,49.808055555555555,18
2020-01-31,Comm,49.46133333333333,15
2020-02-03,Comm,56.07666666666666,21
2020-02-04,Comm,59.93588235294118,17
2020-02-05,Comm,51.65625,12
2020-02-06,Comm,53.09184210526316,19
2020-02-07,Comm,52.17307692307692,13
2020-02-10,Comm,52.61125,20
2020-02-11,Comm,52.71333333333333,24
2020-02-12,Comm,51.076388888888886,18
2020-02-13,Comm,53.638250000000006,20
2020-02-14,Comm,79.295,1
2020-02-18,Comm,51.67891304347826,23
2020-02-19,Comm,56.14142857142857,7
2020-02-20,Comm,56.915,15
2020-02-21,Comm,54.61857142857143,7
2020-02-24,Comm,54.568,10
2020-02-25,Comm,46.761,5
2020-02-26,Comm,52.57950000000001,10
2020-02-27,Comm,44.3975,8
2020-02-28,Comm,45.266176470588235,17
2020-03-02,Comm,55.90588235294118,17
2020-03-03,Comm,54.443636363636365,11
2020-03-04,Comm,50.92285714285714,7
2020-03-05,Comm,53.3035,10
2020-03-06,Comm,47.76583333333334,6
2020-03-09,Comm,50.0965625,16
2020-03-10,Comm,46.67777777777778,18
2020-03-11,Comm,53.84888888888889,9
2020-03-12,Comm,48.72666666666667,12
2020-03-13,Comm,51.1540625,16
2020-03-16,Comm,50.4975,28
2020-03-17,Comm,53.14029411764706,17
2020-03-18,Comm,51.45727272727272,11
2020-03-19,Comm,52.39392857142857,14
2020-03-20,Comm,44.53666666666666,6
2020-03-23,Comm,53.25214285714286,28
2020-03-24,Comm,52.83583333333333,18
2020-03-25,Comm,53.948,15
2020-03-26,Comm,58.40846153846154,13
2020-03-27,Comm,55.05863636363636,11
2020-03-30,Comm,53.61633333333334,15
2020-03-31,Comm,55.98500000000001,6
2020-04-01,Comm,54.99357142857143,21
2020-04-02,Comm,49.14,10
2020-04-03,Comm,54.2090625,16
2020-04-06,Comm,53.959375,16
2020-04-07,Comm,54.138,20
2020-04-08,Comm,52.821923076923085,13
2020-04-09,Comm,49.2171875,16
2020-04-13,Comm,42.9853125,16
2020-04-14,Comm,57.3196875,16
2020-04-15,Comm,51.5746875,16
2020-04-16,Comm,55.90375,16
2020-04-17,Comm,53.186666666666675,15
2020-04-20,Comm,54.44583333333333,12
2020-04-21,Comm,53.650333333333336,15
2020-04-22,Comm,52.70596153846154,26
2020-04-23,Comm,50.1275,24
2020-04-24,Comm,52.250882352941176,17
2020-04-27,Comm,53.87571428571428,21
2020-04-28,Comm,49.871805555555554,36
2020-04-29,Comm,55.501842105263165,19
2020-04-30,Comm,52.75296296296296,27
2020-05-01,Comm,49.80052631578947,19
2020-05-04,Comm,52.87173913043478,23
2020-05-05,Comm,57.95842857142858,35
2020-05-06,Comm,52.57484848484849,33
2020-05-07,Comm,55.53239130434783,23
2020-05-08,Comm,58.47833333333334,9
2020-05-11,Comm,52.55195652173913,23
2020-05-12,Comm,52.88666666666667,18
2020-05-13,Comm,42.012499999999996,4
2020-05-14,Comm,50.455714285714286,14
2020-05-15,Comm,52.5228125,16
2020-05-18,Comm,51.3175,18
2020-05-19,Comm,52.5705,20
2020-05-20,Comm,54.768214285714286,28
2020-05-21,Comm,50.12863636363637,11
2020-05-22,Comm,49.084374999999994,8
2020-05-26,Comm,56.431363636363635,22
2020-05-27,Comm,53.90599999999999,20
2020-05-28,Comm,52.06312499999999,24
2020-05-29,Comm,54.4740625,16
2020-06-01,Comm,49.20735294117647,17
2020-06-02,Comm,60.346111111111114,9
2020-06-03,Comm,48.85388888888889,9
2020-06-04,Comm,50.86727272727273,11
2020-06-05,Comm,51.51950000000001,10
2020-06-08,Comm,51.91777777777778,18
2020-06-09,Comm,45.5025,4
2020-06-10,Comm,46.070625,8
2020-06-11,Comm,51.1235,10
2020-06-12,Comm,54.12,15
2020-06-15,Comm,50.244375,16
2020-06-16,Comm,48.73673913043478,23
2020-06-17,Comm,53.43,12
2020-06-18,Comm,56.17375,16
2020-06-19,Comm,49.60636363636363,11
2020-06-22,Comm,50.73727272727273,11
2020-06-23,Comm,55.235,8
2020-06-24,Comm,53.351875,16
2020-06-25,Comm,52.658500000000004,10
2020-06-26,Comm,52.57000000000001,5
2020-06-29,Comm,54.772499999999994,22
2020-06-30,Comm,50.093333333333334,9
2020-07-01,Comm,53.475,6
2020-07-02,Comm,50.67214285714285,7
2020-07-06,Comm,53.405476190476186,21
2020-07-07,Comm,54.24464285714286,14
2020-07-08,Comm,52.933125,8
2020-07-09,Comm,52.656666666666666,6
2020-07-10,Comm,50.581250000000004,4
2020-07-13,Comm,52.641818181818174,11
2020-07-14,Comm,55.0265,10
2020-07-15,Comm,59.169285714285714,7
2020-07-16,Comm,52.99214285714286,7
2020-07-17,Comm,23.0425,2
2020-07-20,Comm,55.296875,8
2020-07-21,Comm,56.039,10
2020-07-22,Comm,55.53285714285715,7
2020-07-23,Comm,49.766000000000005,10
2020-07-24,Comm,48.499722222222225,18
2020-07-27,Comm,53.16300000000001,5
2020-07-28,Comm,56.45,9
2020-07-29,Comm,53.80458333333333,12
2020-07-30,Comm,55.223333333333336,15
2020-07-31,Comm,50.517500000000005,6
2020-08-03,Comm,54.254999999999995,22
2020-08-04,Comm,55.360238095238095,21
2020-08-05,Comm,55.8605,10
2020-08-06,Comm,57.00307692307692,13
2020-08-07,Comm,51.146071428571425,28
2020-08-10,Comm,58.788181818181826,11
2020-08-11,Comm,54.511111111111106,9
2020-08-12,Comm,50.525,7
2020-08-13,Comm,56.01649999999999,10
2020-08-14,Comm,47.61666666666667,6
2020-08-17,Comm,56.04888888888889,9
2020-08-18,Comm,54.58846153846154,13
2020-08-19,Comm,49.614999999999995,1
2020-08-20,Comm,52.676875,8
2020-08-21,Comm,55.717,10
2020-08-24,Comm,43.105,6
2020-08-25,Comm,57.7225,4
2020-08-26,Comm,53.172000000000004,10
2020-08-27,Comm,49.913333333333334,3
2020-08-28,Comm,51.05428571428571,7
2020-08-31,Comm,54.527,5
2020-09-01,Comm,54.832499999999996,4
2020-09-02,Comm,58.685,7
2020-09-03,Comm,49.517,10
2020-09-04,Comm,50.41428571428571,7
2020-09-08,Comm,49.564166666666665,6
2020-09-09,Comm,64.28099999999999,5
2020-09-10,Comm,41.86666666666667,3
2020-09-11,Comm,51.1925,4
2020-09-14,Comm,56.434583333333336,12
2020-09-15,Comm,51.995000000000005,11
2020-09-16,Comm,45.680625,8
2020-09-17,Comm,53.846000000000004,5
2020-09-18,Comm,47.972857142857144,7
2020-09-21,Comm,57.58294117647059,17
2020-09-22,Comm,53.032000000000004,5
2020-09-23,Comm,51.09666666666667,3
2020-09-24,Comm,53.45928571428571,7
2020-09-25,Comm,50.25666666666666,3
2020-09-28,Comm,52.7809375,16
2020-09-29,Comm,53.39333333333334,3
2020-09-30,Comm,48.997,5
2020-10-01,Comm,52.665,12
2020-10-02,Comm,51.448750000000004,4
2020-10-05,Comm,54.02333333333333,12
2020-10-06,Comm,52.394999999999996,7
2020-10-07,Comm,50.88833333333333,3
2020-10-08,Comm,50.309375,8
2020-10-09,Comm,56.433571428571426,14
2020-10-12,Comm,47.76642857142857,21
2020-10-13,Comm,46.94625,12
2020-10-14,Comm,59.223846153846154,13
2020-10-15,Comm,50.64399999999999,5
2020-10-16,Comm,53.223333333333336,6
2020-10-19,Comm,57.36730769230769,13
2020-10-20,Comm,50.25666666666667,3
2020-10-21,Comm,47.0725,6
2020-10-22,Comm,52.0484375,16
2020-10-23,Comm,48.48,9
2020-10-26,Comm,50.14294117647059,17
2020-10-27,Comm,50.449999999999996,2
2020-10-28,Comm,54.065,17
2020-10-29,Comm,56.154411764705884,17
2020-10-30,Comm,61.153333333333336,6
2020-11-02,Comm,50.46052631578947,19
2020-11-03,Comm,52.61266666666666,15
2020-11-04,Comm,48.838750000000005,12
2020-11-05,Comm,49.52815789473684,19
2020-11-06,Comm,50.93119565217391,46
2020-11-09,Comm,57.72416666666667,18
2020-11-10,Comm,52.722142857142856,14
2020-11-11,Comm,50.157777777777774,9
2020-11-12,Comm,48.839999999999996,7
2020-11-13,Comm,53.62807692307692,13
2020-11-16,Comm,54.666666666666664,12
2020-11-17,Comm,46.40291666666667,12
2020-11-18,Comm,50.36863636363636,11
2020-11-19,Comm,50.858000000000004,10
2020-11-20,Comm,50.867,15
2020-11-23,Comm,45.15111111111111,9
2020-11-24,Comm,50.980000000000004,10
2020-11-25,Comm,65.12083333333334,6
2020-11-27,Comm,56.71333333333334,3
2020-11-30,Comm,50.6775,6
2020-12-01,Comm,56.6225,6
2020-12-02,Comm,37.8225,2
2020-12-03,Comm,52.7775,8
2020-12-04,Comm,52.466499999999996,10
2020-12-07,Comm,54.17791666666667,12
2020-12-08,Comm,52.89846153846153,13
